ticker,name,sector,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days,exit_reason
6002.SR,Herfy,Food,2023-07-31 00:00:00+03:00,2023-08-07 00:00:00+03:00,37.037,35.06489847564697,664,-1309.4754121704111,-1332.7585047582406,-0.053246794404326225,6,stop_loss
6001.SR,Halwani Bros,Food,2023-08-02 00:00:00+03:00,2023-08-07 00:00:00+03:00,64.76469694519042,58.64130076217651,279,-1708.4275350608807,-1724.788457973528,-0.09454836464680849,4,stop_loss
1303.SR,Electrical Industries,Industrial,2023-08-01 00:00:00+03:00,2023-08-08 00:00:00+03:00,1.6170347265712013,1.6814212914705275,13367,860.6552130092941,838.1796546062076,0.03981767604697839,6,stop_loss
1010.SR,Riyad Bank,Banking,2023-08-04 00:00:00+03:00,2023-08-08 00:00:00+03:00,28.543320375027392,26.883937821353808,746,-1237.8993850404938,-1257.9548026552238,-0.058135582401456776,3,stop_loss
2280.SR,Almarai,Food,2023-08-03 00:00:00+03:00,2023-08-10 00:00:00+03:00,61.299994906157245,59.057976973018334,296,-663.6373082091176,-681.118469393131,-0.03657452070870748,6,stop_loss
1050.SR,Banque Saudi Fransi,Banking,2023-08-04 00:00:00+03:00,2023-08-15 00:00:00+03:00,16.507892284824454,16.346367832421112,1531,-247.29393662951577,-272.3202257809525,-0.009784680540460555,10,stop_loss
4250.SR,Jabal Omar,Real Estate,2023-08-10 00:00:00+03:00,2023-08-15 00:00:00+03:00,24.964940534591673,24.695279314041137,819,-220.85253963088843,-241.07797338908813,-0.010801596750326325,4,stop_loss
8210.SR,Bupa Arabia,Insurance,2023-07-28 00:00:00+03:00,2023-08-16 00:00:00+03:00,167.61217419565043,191.31139568163002,124,2938.7034642614694,2914.9808511969472,0.14139319891117186,18,take_profit
3020.SR,Yamama Cement,Materials,2023-08-04 00:00:00+03:00,2023-08-16 00:00:00+03:00,33.141996348665295,32.03625802316228,804,-889.0136137044215,-914.7707651550439,-0.03336366083292819,11,stop_loss
6001.SR,Halwani Bros,Food,2023-08-07 00:00:00+03:00,2023-08-16 00:00:00+03:00,58.758700763702386,57.24269923782349,332,-503.31250659179443,-522.3170827387519,-0.025800460292263572,8,stop_loss
1140.SR,Bank Albilad,Banking,2023-08-08 00:00:00+03:00,2023-08-16 00:00:00+03:00,26.244729501043043,26.32006018482538,1075,80.9804850660119,52.686420367324615,0.002870316639359549,7,stop_loss
1303.SR,Electrical Industries,Industrial,2023-08-08 00:00:00+03:00,2023-08-16 00:00:00+03:00,1.6847875002622603,1.652120427157994,12046,-393.5075626139933,-413.40900527953846,-0.019389432257291395,7,stop_loss
2040.SR,Saudi Ceramic,Materials,2023-07-28 00:00:00+03:00,2023-08-17 00:00:00+03:00,24.06651531219482,22.485337503720718,953,-1506.8624514758194,-1528.2909781168653,-0.06570032212652321,19,stop_loss
1060.SR,Saudi Awwal Bank,Banking,2023-08-04 00:00:00+03:00,2023-08-17 00:00:00+03:00,30.613853572119368,31.15801627288837,680,370.0306365229226,348.84318545735846,0.017775047479307915,12,stop_loss
2320.SR,Al-Babtain Power,Industrial,2023-08-08 00:00:00+03:00,2023-08-17 00:00:00+03:00,17.710279045746123,18.734176328411785,1371,1403.7631745346218,1378.0786187883693,0.05781372953079433,8,stop_loss
2070.SR,Saudi Pharma,Industrial,2023-08-08 00:00:00+03:00,2023-08-17 00:00:00+03:00,36.286249999999995,39.96,291,1069.0612500000016,1057.4328900000016,0.10124358400220479,8,take_profit
4009.SR,Middle East Healthcare,Healthcare,2023-08-07 00:00:00+03:00,2023-08-21 00:00:00+03:00,56.16733546519661,62.39350180600714,197,1226.5547691396744,1214.263249283891,0.11085030630780945,13,take_profit
8010.SR,Tawuniya,Insurance,2023-08-01 00:00:00+03:00,2023-08-22 00:00:00+03:00,115.61033834639179,121.09929797061615,138,757.4764281429623,740.7647250230173,0.04747810362580496,20,time_exit
7020.SR,Mobily,Telecom,2023-08-01 00:00:00+03:00,2023-08-22 00:00:00+03:00,42.30288581124672,41.11940445276168,462,-546.7683876200882,-565.7655524772641,-0.02797637408865372,20,stop_loss
3060.SR,Yanbu Cement,Materials,2023-08-08 00:00:00+03:00,2023-08-22 00:00:00+03:00,32.65730597780931,33.033686882016895,701,263.843013849518,240.68639934522415,0.011525166970702827,13,stop_loss
4250.SR,Jabal Omar,Real Estate,2023-08-15 00:00:00+03:00,2023-08-22 00:00:00+03:00,24.744719312667844,22.937039085388182,804,-1453.3749027328477,-1471.8162821574997,-0.07305317164596958,6,stop_loss
6001.SR,Halwani Bros,Food,2023-08-18 00:00:00+03:00,2023-08-22 00:00:00+03:00,56.55649999999999,54.34560152435303,274,-605.7861823272681,-620.6768771449408,-0.0390918546170107,3,stop_loss
1321.SR,East Pipes,Materials,2023-08-02 00:00:00+03:00,2023-08-23 00:00:00+03:00,58.22456670688702,58.013906796471545,283,-59.616754647578716,-76.03469027098016,-0.0036180588766933086,20,stop_loss
4310.SR,Emaar Economic City,Real Estate,2023-08-02 00:00:00+03:00,2023-08-23 00:00:00+03:00,14.7146998090744,14.965019542694092,1624,406.5192473983803,382.21605566104506,0.01701154198642385,20,time_exit
4003.SR,Extra,Retail,2023-08-08 00:00:00+03:00,2023-08-24 00:00:00+03:00,65.56520003740864,64.65930995889718,447,-404.93286509462337,-433.8355766462504,-0.013816629522896307,15,stop_loss
4190.SR,Jarir Marketing,Retail,2023-08-16 00:00:00+03:00,2023-08-24 00:00:00+03:00,13.21665655892934,12.861360312064502,2076,-737.5950084914055,-764.2951924992514,-0.026882460422624543,7,stop_loss
4002.SR,Mouwasat,Healthcare,2023-08-17 00:00:00+03:00,2023-08-24 00:00:00+03:00,100.3285164424565,102.58403418906497,133,299.9838602989254,286.34018375177976,0.02248132262478042,6,stop_loss
