ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,net_pnl,pnl_pct,holding_days,exit_reason
4190.SR,Retail,2024-11-26 00:00:00+03:00,2024-12-12 00:00:00+03:00,11.918906024677712,12.08212137245115,2329,351.9892842878977,0.013693819502855753,15,time_exit
4280.SR,Holding,2024-11-27 00:00:00+03:00,2024-12-13 00:00:00+03:00,8.622885738994022,8.615229118184697,3090,-50.280016276004105,-0.0008879418145019136,15,time_exit
4300.SR,Real Estate,2024-12-05 00:00:00+03:00,2024-12-16 00:00:00+03:00,15.275260229110716,14.84513965702057,1662,-739.5330129237916,-0.028157986550726433,10,stop_loss
2280.SR,Food,2025-01-06 00:00:00+03:00,2025-01-22 00:00:00+03:00,54.62874330916432,54.9118225389159,653,148.9933169098687,0.005181873361968625,15,time_exit
1322.SR,Industrial,2025-01-08 00:00:00+03:00,2025-01-24 00:00:00+03:00,61.2479317653991,61.41388787368042,609,63.66621222825325,0.002709578976756166,15,time_exit
1211.SR,Materials,2025-01-15 00:00:00+03:00,2025-01-31 00:00:00+03:00,47.3472992362976,48.70125,756,986.7686323590146,0.028596156180845655,15,time_exit
8210.SR,Insurance,2025-01-30 00:00:00+03:00,2025-02-17 00:00:00+03:00,189.8325393230479,175.7813750660638,152,-2162.4957360716285,-0.07401873412793858,17,time_exit
1303.SR,Industrial,2025-02-05 00:00:00+03:00,2025-02-17 00:00:00+03:00,6.823691359310337,6.89687194363638,5514,365.48839007658717,0.010724486274748424,11,stop_loss
1304.SR,Industrial,2025-02-11 00:00:00+03:00,2025-02-26 00:00:00+03:00,35.84888527679443,34.44853013992309,843,-1209.539491290489,-0.03906272471400407,14,stop_loss
1211.SR,Materials,2025-02-28 00:00:00+03:00,2025-03-05 00:00:00+03:00,45.69565152740478,43.60635152435303,674,-1437.5788829842916,-0.04572207492869962,4,stop_loss
2222.SR,Energy,2025-02-25 00:00:00+03:00,2025-03-06 00:00:00+03:00,25.88516092591266,25.217233167120465,1448,-1003.67394835709,-0.025803500341524233,8,stop_loss
8210.SR,Insurance,2025-02-25 00:00:00+03:00,2025-03-07 00:00:00+03:00,169.87077534957706,162.10949404907225,157,-1243.9723547449587,-0.04568932639845125,9,stop_loss
1303.SR,Industrial,2025-03-05 00:00:00+03:00,2025-03-10 00:00:00+03:00,6.572394693197324,5.970858148289846,3204,-1946.453719390679,-0.09152471404830431,4,stop_loss
1322.SR,Industrial,2025-03-06 00:00:00+03:00,2025-03-11 00:00:00+03:00,52.484474198102944,53.91235948683108,291,399.8261224092193,0.02720586060057628,4,stop_loss
2050.SR,Food,2025-02-28 00:00:00+03:00,2025-03-12 00:00:00+03:00,36.18615152740478,32.66730076217652,854,-3032.9964283558375,-0.09724302299909793,11,stop_loss
8010.SR,Insurance,2025-02-25 00:00:00+03:00,2025-03-13 00:00:00+03:00,143.51048672479956,145.39680104359925,250,435.229379439023,0.013144086971267566,15,time_exit
2280.SR,Food,2025-02-28 00:00:00+03:00,2025-03-13 00:00:00+03:00,55.7095300775906,52.95068366837935,599,-1684.266458634899,-0.04952198313948819,12,stop_loss
4280.SR,Holding,2025-03-10 00:00:00+03:00,2025-03-14 00:00:00+03:00,7.444513219634616,7.352448088766564,2772,-275.5855288683017,-0.012366843627227952,3,stop_loss
2010.SR,Materials,2025-02-28 00:00:00+03:00,2025-03-17 00:00:00+03:00,60.58304562612238,62.99342011642456,529,1241.7645861282656,0.039786287820150035,16,time_exit
4190.SR,Retail,2025-02-28 00:00:00+03:00,2025-03-17 00:00:00+03:00,11.88142578580626,11.857686113315495,2488,-88.56622820695068,-0.001998049133053015,16,time_exit
2082.SR,Utilities,2025-03-04 00:00:00+03:00,2025-03-20 00:00:00+03:00,354.15378778076166,324.0755939025879,65,-1976.147515684962,-0.08492975344596232,15,time_exit
1320.SR,Industrial,2025-03-04 00:00:00+03:00,2025-03-20 00:00:00+03:00,61.71665645595416,56.18059864425659,282,-1577.0112317163944,-0.08970119461426973,15,time_exit
